"SMART LATHE EXPORT"

"Dashboards","machine"
"Parameters","rpm"

"timestamp","rpm"
"2026-06-13 05:24:20.148699","0.0"
"2026-06-13 05:24:29.224380","0.0"
"2026-06-13 05:24:38.329041","0.0"
"2026-06-13 05:24:47.420978","0.0"
"2026-06-13 05:24:56.493767","0.0"
"2026-06-13 05:25:05.568662","0.0"
"2026-06-13 05:25:14.770421","0.0"
"2026-06-13 05:25:23.888996","0.0"
"2026-06-13 05:25:33.062252","0.0"
"2026-06-13 05:25:42.169618","0.0"
"2026-06-13 05:25:51.275444","0.0"
"2026-06-13 05:26:00.341701","0.0"
"2026-06-13 05:26:14.327787","0.0"
"2026-06-13 05:26:23.422789","0.0"
"2026-06-13 05:26:32.487379","0.0"
"2026-06-13 05:26:41.564584","0.0"
"2026-06-13 05:26:50.649323","0.0"
"2026-06-13 05:26:59.751577","0.0"
"2026-06-13 05:27:08.871449","0.0"
"2026-06-13 05:27:18.043438","0.0"
"2026-06-13 05:27:28.208437","0.0"
"2026-06-13 05:27:37.303840","0.0"
"2026-06-13 05:27:46.433402","0.0"
"2026-06-13 05:27:55.545952","0.0"
"2026-06-13 05:28:04.620438","0.0"
"2026-06-13 05:28:13.691932","0.0"
"2026-06-13 05:28:22.774656","0.0"
"2026-06-13 05:28:31.946506","0.0"
"2026-06-13 05:28:42.051869","0.0"
"2026-06-13 05:28:51.159585","0.0"
"2026-06-13 05:29:00.242488","0.0"
"2026-06-13 05:29:09.333202","0.0"
"2026-06-13 05:29:18.439674","0.0"
"2026-06-13 05:29:27.560717","0.0"
"2026-06-13 05:29:36.646775","0.0"
"2026-06-13 05:29:45.787353","0.0"
"2026-06-13 05:29:54.960507","0.0"
"2026-06-13 05:30:05.053083","0.0"
"2026-06-13 05:30:14.175177","0.0"
"2026-06-13 05:30:23.249655","0.0"
"2026-06-13 05:30:32.320519","0.0"
"2026-06-13 05:30:41.412364","0.0"
"2026-06-13 05:30:50.495366","0.0"
"2026-06-13 05:30:59.542812","0.0"
"2026-06-13 05:31:08.634217","0.0"
"2026-06-13 05:31:17.725135","0.0"
"2026-06-13 05:31:26.789443","0.0"
"2026-06-13 05:31:35.942004","0.0"
"2026-06-13 05:31:46.063335","0.0"
"2026-06-13 05:31:55.217282","0.0"
"2026-06-13 05:32:04.263022","0.0"
"2026-06-13 05:32:13.341788","0.0"
"2026-06-13 05:32:22.446944","0.0"
"2026-06-13 05:32:31.524996","0.0"
"2026-06-13 05:32:40.620428","0.0"
"2026-06-13 05:32:49.714219","0.0"
"2026-06-13 05:32:58.785963","0.0"
"2026-06-13 05:33:07.944348","0.0"
"2026-06-13 05:33:18.037979","0.0"
"2026-06-13 05:33:27.091786","0.0"
"2026-06-13 05:33:36.226706","0.0"
"2026-06-13 05:33:45.354115","0.0"
"2026-06-13 05:33:54.462304","0.0"
"2026-06-13 05:34:03.565129","0.0"
"2026-06-13 05:34:12.673152","0.0"
"2026-06-13 05:34:21.763881","0.0"
"2026-06-13 05:34:30.919191","0.0"
"2026-06-13 05:34:41.009505","0.0"
"2026-06-13 05:34:50.074151","0.0"
"2026-06-13 05:34:59.161528","0.0"
"2026-06-13 05:35:08.261657","0.0"
"2026-06-13 05:35:17.374214","0.0"
"2026-06-13 05:35:26.495964","0.0"
"2026-06-13 05:35:35.622785","0.0"
"2026-06-13 05:35:44.712202","0.0"
"2026-06-13 05:35:53.921083","0.0"
"2026-06-13 05:36:04.021461","0.0"
"2026-06-13 05:36:13.129571","0.0"
"2026-06-13 05:36:22.227094","0.0"
"2026-06-13 05:36:31.314679","0.0"
"2026-06-13 05:36:40.385098","0.0"
"2026-06-13 05:36:49.468106","0.0"
"2026-06-13 05:36:58.519182","0.0"
"2026-06-13 05:37:07.596388","0.0"
